Time, ind speed, true speed, alt-m, rv-m, kren, tang, cax, weight, gear comp main, tnv, tvg
81.425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
82.41666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83.40833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
84.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
85.39166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
86.38333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
87.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.36666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.35833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91.34166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92.33333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
93.325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
94.31666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
95.30833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
97.29166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.28333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
99.275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100.2666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
101.2583333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
102.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
103.2416667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104.2333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
105.225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
106.2166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
107.2083333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
108.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
109.1916667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
110.1833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
111.175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
112.1666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113.1583333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
114.15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
115.1416667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
116.1333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
117.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
118.1166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
119.1083333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
120.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
121.0916667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
122.0833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
123.075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
124.0666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
125.0583333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
126.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
127.0416667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
128.0333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
129.025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
130.0166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
131.0083333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
132.9916667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
133.9833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
134.975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
135.9666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
136.9583333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
137.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
138.9416667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139.9333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
140.925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
141.9166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
142.9083333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
143.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
144.8916667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145.8833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
146.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
147.8666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148.8583333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
