Time, Aileron Command (norm), Elevator Command (norm), Rudder Command (norm), Flap Command (norm), Left Aileron Position (deg), Right Aileron Position (deg), Elevator Position (deg), Rudder Position (deg), Flap Position (deg), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), nk-8-2u_N1[0], nk-8-2u_N2[0], Direct Thrust (engine 0 in lbs), nk-8-2u_N1[1], nk-8-2u_N2[1], Direct Thrust (engine 1 in lbs), nk-8-2u_N1[2], nk-8-2u_N2[2], Direct Thrust (engine 2 in lbs), tsa-6a_N1[3], tsa-6a_N2[3], Direct Thrust (engine 3 in lbs), v-down-fps, vc-fps, flap-pos-deg, speed-pid, speed-error-switched, pnp-heading, gs-trigger, gs-pid, gs-error-switched, gs-error
0.7833333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0008309369975, 92330.64576, 0.83891311375, 769.656622609, 0.0006810451796594576, -0.218563385416069, -0.004123232944048082, 0.7215109581700708, -0.4279779451706232, 0.005659338279257405, -387.9869900743003,  664.7085086608054, -0.1037890630987212, -0.2094238507934955, -0.06241855478997074, -0.005743958020034724, 96.852630242705, 11.590635780245, 0.4229601445160598, 0.6546496189224716,   286.435264502442, 0.44940349824555, -30.674331498377, 59.622764166965, 30.282658551546,  9114893.619847175,  5323319.291839921,  18007837.87245625,  9115200.915855516,  5322793.087054256,  18007837.87245625, 0.003307642021357, 11.590635780245, 85.262406360358, 0, 37.26, 0, 0, 37.26, 0, 0, 37.26, 0, 0, 65.743, 0, -0.00574395802003472428, 0.720513224111121175, 0, 0, 0, 163.679704686326176, -1, 0, 0, -0.00582242526714067937
1.775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002896900515, 172396.566, 1.56638935276, 769.701790968, 0.0002630642093287748, -0.06402016105624718, -0.001356688022523254,  1.485800252139961, -0.4955962065500619, 0.01891071739766917, -388.1727496096689,    664.65236218511, -0.03035368113479259, -0.06132405201254438, -0.01834214660994302, -0.001848547581847801, 96.852739430964, 11.590758346021, 0.4376550256472715, 0.6544979430679052,  286.4354394973535, 0.72920016807122, -18.444989353892, 59.622764170323, 30.282658553955,  9114508.647218823,  5323978.407420591,  18007837.87317073,  9115200.914768664,  5322793.086933583,  18007837.87317073, 0.007450898869162, 11.590758346021, 85.262404542416, 0, 22.6702, 0, 0, 22.6702, 0, 0, 22.6702, 0, 0, 40.0002, 0, -0.00184854758184780092, 1.48374564148141719, 0, 0, 0, 163.683792357513937, -1, 0, 0, -0.00188759375096865696
2.766666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.005744056959, 242756.6776, 2.20567894226, 769.715149097, 9.995260784731116e-05, -0.01863313459953567, -0.000362962491913147,  2.112873350878129, -0.6324331573320831, 0.02853245529697152, -388.2614970667818,  664.6159948165897, -0.008886772972474127, -0.0178418852601107, -0.005361336772933579, -0.0005085623063606828, 96.852755934, 11.590775351971, 0.4443399261216397, 0.6544679318155079,  286.4355271282475, 0.77368097054076, -16.662255178376, 59.622764171789, 30.282658555411,  9114123.627489705,  5324637.495285154,  18007837.87345546,  9115200.914242988,  5322793.086937198,  18007837.87345546, 0.011594155716967, 11.590775351971, 85.262404039502, 0, 13.7933, 0, 0, 13.7933, 0, 0, 13.7933, 0, 0, 24.3374, 0, -0.000508562306360682754, 2.10995162479584231, 0, 0, 0, 163.685639099980534, -1, 0, 0, -0.000526657400515128803
3.758333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008848968524, 301306.2507, 2.73765837925, 769.719076381, 3.590248733743072e-05, -0.005392043017250265, 1.369687446569368e-05,  2.627288378661316, -0.7686576348037515, 0.03598079065925965, -388.3215145367901,  664.5854782385019, -0.002681601324856519, -0.005161595802979975, -0.0015597131000193, -2.878016399107341e-05, 96.852759148926, 11.590779274702, 0.4470226604980089, 0.6544599852382433,  286.4355552211278, 0.78461831440492, -16.306281469253, 59.622764171825, 30.282658556062,  9113738.560557634,  5325296.555401212,  18007837.87346555,  9115200.914174316,  5322793.087036057,  18007837.87346555, 0.015737412564772, 11.590779274702, 85.262403331697, 0, 8.39228, 0, 0, 8.39228, 0, 0, 8.39228, 0, 0, 14.8077, 0, -2.87801639910734052e-05, 2.62365530948836589, 0, 0, 0, 163.685806928751532, -1, 0, 0, -3.68906083695540551e-05
4.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.01190980083, 349553.8304, 3.17603425323, 769.720229774, 8.479942534940596e-06, -0.001545076627908033, 0.0001595679956064973,  3.049253059272688, -0.8874075496532718, 0.0419189576099742, -388.3730780803759,  664.5566825668144, -0.0009056004844530781, -0.001480218109245689, -0.0004472476441134192, 0.0001473754865160868, 96.85276267305, 11.590783767402, 0.4480075335219416, 0.6544597431646524,  286.4355725109471, 0.78761192354094, -16.224841122261, 59.622764171162, 30.282658556316,  9113353.446194675,  5325955.587717857,  18007837.87334725,  9115200.914332699,  5322793.087182682,  18007837.87334725, 0.019880669412577, 11.590783767402, 85.262402363122, 0, 5.10613, 0, 0, 5.10613, 0, 0, 5.10613, 0, 0, 9.00947, 0, 0.000147375486516086821, 3.04503649057101855, 0, 0, 0, 163.686000559777085, -1, 0, 0, 0.000143618337568384574
5.741666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.01476407604, 389192.9394, 3.53619385414, 769.720561643, 2.144098151222672e-06, -0.0004393696077679838, 0.0002073767609296199,  3.395378281880404, -0.9868592340663709, 0.04671347876667974, -388.4221483374808,  664.5283874270237, -0.0003968554537034238, -0.0004216943016961049, -0.0001290598059614525, 0.0002038942193926139, 96.852766551077, 11.590788725764, 0.4483871091981838, 0.6544581800012568,  286.4355721018561, 0.78822331623086, -16.20493698216, 59.622764170237, 30.282658556417,  9112968.284261309,  5326614.592201079,  18007837.87318111,  9115200.914576603,  5322793.087346517,  18007837.87318111, 0.024023926260383, 11.590788725764, 85.262401282787, 0, 3.10674, 0, 0, 3.10674, 0, 0, 3.10674, 0, 0, 5.48165, 0, 0.000203894219392613868, 3.39068308642390903, 0, 0, 0, 163.686184259178248, -1, 0, 0, 0.000201071620411175274
6.733333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.01733540452, 421724.475, 3.83177428404, 769.720658803, -1.359911876119497e-06, -0.0001220622054204546, 0.000223525114955634,  3.679282780756035, -1.069022863976068, 0.05062113528469894, -388.4704957380999,  664.5002381709768, -0.0002544756460108643, -0.0001184146786071271, -3.61639867684328e-05, 0.0002225637847964248, 96.852766301483, 11.590780705214, 0.4485125084247426, 0.6544660809783953,  286.4355788151408, 0.78824993655525, -16.199874160514, 59.622764169192, 30.282658556458,  9112583.074710237,  5327273.568838805,  18007837.87298939,   9115200.91485671,  5322793.087518939,  18007837.87298939, 0.028167183108188, 11.590780705214, 85.262400142848, 0, 1.89024, 0, 0, 1.89024, 0, 0, 1.89024, 0, 0, 3.33522, 0, 0.000222563784796424844, 3.67419499947531669, 0, 0, 0, 163.686362206799998, -1, 0, 0, 0.000221764754899507054
7.725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0195989757, 448413.3186, 4.0742682123, 769.720686285, -2.501422111616467e-06, -3.338421672035942e-05, 0.0002302006708864715,  3.912152197652402, -1.136587082356299, 0.0538186994859051, -388.5186307499287,  664.4721276735372, -0.0002161333078606424, -3.371225762876188e-05, -1.007525008977822e-05, 0.000229945830408773, 96.852767653763, 11.59078322351, 0.4485608981166902, 0.6544682441540153,  286.4355743131396, 0.78815692319391, -16.198572001868, 59.622764168113, 30.282658556473,  9112197.817519948,  5327932.517620657,  18007837.87279265,  9115200.915149499,  5322793.087693024,  18007837.87279265, 0.032310439955993, 11.59078322351, 85.262398976833, 0, 1.15008, 0, 0, 1.15008, 0, 0, 1.15008, 0, 0, 2.02925, 0, 0.00022994583040877303, 3.90674240221861879, 0, 0, 0, 163.686547166582386, -1, 0, 0, 0.000229595115174402052
8.716666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0215593949, 470305.5457, 4.27318024652, 769.720697093, -5.157542060260627e-06, -5.048055054800382e-06, 0.0002393988761800135,  4.103157219640496, -1.192050445769297, 0.05644452959938057, -388.5667099218937,  664.4440258398483, -0.0002100513777475784, -7.324894205176368e-06, 3.65687492924041e-07, 0.0002393953157413206, 96.852774187922, 11.590788282454, 0.4485653517522344, 0.6544699524921871,  286.4355794949976, 0.78813196094609, -16.198201097194, 59.622764167011, 30.282658556474,  9111812.512689294,   5328591.43854422,  18007837.87259631,  9115200.915451804,  5322793.087869802,  18007837.87259631, 0.036453696803798, 11.590788282454, 85.262397803366, 0, 0.699749, 0, 0, 0.699749, 0, 0, 0.699749, 0, 0, 1.23466, 0, 0.000239395315741320588, 4.09748330075469092, 0, 0, 0, 163.686722477595652, -1, 0, 0, 0.000238667668782146006
9.708333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02323723365, 488263.2398, 4.43634324722, 769.720696811, -2.64662718833379e-06, 1.437286565513425e-06, 0.0002342255389245441,   4.25983050628329, -1.237559349722196, 0.05858601168816843, -388.6147606528716,  664.4159231252358, -0.0002013624464436452, -3.721792391139445e-07, -1.400352093530883e-07, 0.0002342445631625387, 96.852779388428, 11.59079464525, 0.4485936291926256, 0.6544695597618544,  286.4355747080309, 0.78794674739218, -16.198104228662, 59.622764165923, 30.282658556481,   9111427.16020593,  5329250.331601743,  18007837.87240134,  9115200.915749263,  5322793.088044975,  18007837.87240134, 0.040596953651604, 11.59079464525, 85.262396641076, 0, 0.42575, 0, 0, 0.42575, 0, 0, 0.42575, 0, 0, 0.75121, 0, 0.000234244563162538672, 4.25393993829530537, 0, 0, 0, 163.686903240834368, -1, 0, 0, 0.000233300337514295299
